publication_id,concept_label,concept_score
https://openalex.org/W2179438025,Biology,0.7535013556480408
https://openalex.org/W2179438025,Computational biology,0.5058188438415527
https://openalex.org/W2179438025,Genome Biology,0.44937777519226074
https://openalex.org/W2179438025,RNA-Seq,0.4489422142505646
https://openalex.org/W2179438025,Genomics,0.3402111530303955
https://openalex.org/W2179438025,Evolutionary biology,0.32619136571884155
https://openalex.org/W2179438025,Genetics,0.3195399045944214
https://openalex.org/W2179438025,Transcriptome,0.20087623596191406
https://openalex.org/W2179438025,Genome,0.15425118803977966
https://openalex.org/W2179438025,Gene,0.09707024693489075
https://openalex.org/W2179438025,Gene expression,0.0
https://openalex.org/W2799524357,Mega-,0.954684853553772
https://openalex.org/W2799524357,Emulation,0.7341845035552979
https://openalex.org/W2799524357,Biology,0.7123891115188599
https://openalex.org/W2799524357,Software,0.6246368288993835
https://openalex.org/W2799524357,Virtualization,0.5699940919876099
https://openalex.org/W2799524357,Phylogenomics,0.5189033150672913
https://openalex.org/W2799524357,Operating system,0.45067527890205383
https://openalex.org/W2799524357,OS X,0.41936415433883667
https://openalex.org/W2799524357,Computer science,0.39244985580444336
https://openalex.org/W2799524357,Computational biology,0.34846800565719604
https://openalex.org/W2799524357,Phylogenetic tree,0.27822941541671753
https://openalex.org/W2799524357,Genetics,0.18265393376350403
https://openalex.org/W2799524357,Cloud computing,0.15253958106040955
https://openalex.org/W2799524357,Clade,0.07831022143363953
https://openalex.org/W2799524357,Gene,0.0
https://openalex.org/W2799524357,Astronomy,0.0
https://openalex.org/W2799524357,Economic growth,0.0
https://openalex.org/W2799524357,Physics,0.0
https://openalex.org/W2799524357,Economics,0.0
https://openalex.org/W2134967712,AutoDock,0.9046612977981567
https://openalex.org/W2134967712,Multithreading,0.8171991109848022
https://openalex.org/W2134967712,Computer science,0.758578896522522
https://openalex.org/W2134967712,Parallel computing,0.6117604970932007
https://openalex.org/W2134967712,Grid,0.5036661028862
https://openalex.org/W2134967712,Software,0.44929659366607666
https://openalex.org/W2134967712,Docking (animal),0.4337516725063324
