source_org_id,publication_id
DE_EUROPEAN_MOLECULAR_BIOLOGY_LABORATORY_b836b8875b,https://openalex.org/W2179438025
JP_TOKYO_METROPOLITAN_UNIVERSITY_a4dcd7f8ef,https://openalex.org/W2799524357
US_THE_OHIO_STATE_UNIVERSITY_3ff47a2d90,https://openalex.org/W2051978340
US_UNIVERSITY_OF_UTAH_f6ce84d591,https://openalex.org/W2051978340
US_UNIVERSITY_OF_VIRGINIA_e423bdcff3,https://openalex.org/W2102619694
UK_GB991261800_b59b7ba284,https://openalex.org/W2970684805
AU_MONASH_UNIVERSITY_5adf1e4746,https://openalex.org/W2970684805
UK_GB647205541_5de947cfbc,https://openalex.org/W2970684805
UK_GB248837911_e578a3c28b,https://openalex.org/W2970684805
US_JOHNS_HOPKINS_UNIVERSITY_44d48793e7,https://openalex.org/W2970684805
NA_UNIVERSITY_COLLEGE_LONDON_b48273dff7,https://openalex.org/W2970684805
UK_GB524371168_eaa3f3b4f2,https://openalex.org/W2970684805
NA_UNIVERSITY_COLLEGE_LONDON_b48273dff7,https://openalex.org/W2280404143
UK_GB524371168_eaa3f3b4f2,https://openalex.org/W2280404143
US_UNIVERSITY_OF_PITTSBURGH_9df4221f45,https://openalex.org/W2280404143
AU_MONASH_UNIVERSITY_5adf1e4746,https://openalex.org/W2280404143
US_VANDERBILT_UNIVERSITY_2c391b4fab,https://openalex.org/W2280404143
US_BROWN_UNIVERSITY_c940eda81f,https://openalex.org/W2280404143
FR_FR01263500076_9648587bf8,https://openalex.org/W4392145873
US_WOODS_HOLE_OCEANOGRAPHIC_INSTITUTION_242195bbfd,https://openalex.org/W2963276645
US_MASSACHUSETTS_INSTITUTE_OF_TECHNOLOGY_69cb5dbd49,https://openalex.org/W2963276645
CN_CHINESE_ACADEMY_OF_SCIENCES_297a58e2e3,https://openalex.org/W2963276645
NA_UNIVERSITY_OF_CHINESE_ACADEMY_OF_SCIENCES_7216d41f5a,https://openalex.org/W2963276645
US_NORTH_CAROLINA_STATE_UNIVERSITY_1e66637b30,https://openalex.org/W2963276645
CA_DALHOUSIE_UNIVERSITY_dcbb6c152f,https://openalex.org/W2963276645
CA_UNIVERSITY_OF_BRITISH_COLUMBIA_4c69247fde,https://openalex.org/W2963276645
DK_DK46837428_b6d1fc9584,https://openalex.org/W2963276645
US_UNIVERSITY_OF_WASHINGTON_e25b14874f,https://openalex.org/W2963276645
US_MICHIGAN_STATE_UNIVERSITY_e00b2455da,https://openalex.org/W2963276645
AU_AU81633873422_a3f63ed85e,https://openalex.org/W2963276645
US_CORNELL_UNIVERSITY_bea73a7405,https://openalex.org/W2963276645
US_SYRACUSE_UNIVERSITY_ba996c8672,https://openalex.org/W2963276645
US_UNITED_STATES_DEPARTMENT_OF_AGRICULTURE_d7ab44e972,https://openalex.org/W2963276645
US_COLORADO_SCHOOL_OF_MINES_8d8c720a88,https://openalex.org/W2963276645
US_NATIONAL_OCEANIC_AND_ATMOSPHERIC_ADMINISTRATION_1156624e21,https://openalex.org/W2963276645
US_JOHNS_HOPKINS_UNIVERSITY_44d48793e7,https://openalex.org/W2104549677
US_CORNELL_UNIVERSITY_bea73a7405,https://openalex.org/W2104549677
US_UNIVERSITY_OF_WASHINGTON_e25b14874f,https://openalex.org/W2104549677
US_BAYLOR_COLLEGE_OF_MEDICINE_1177e2b50f,https://openalex.org/W2104549677
DE_EUROPEAN_MOLECULAR_BIOLOGY_LABORATORY_b836b8875b,https://openalex.org/W2104549677
KR_KR1108201016_34d0d07c5a,https://openalex.org/W2104549677
US_UNIVERSITY_OF_UTAH_f6ce84d591,https://openalex.org/W2104549677
CH_CHE101064173MWST_4628291fbd,https://openalex.org/W2900569176
DE_EUROPEAN_MOLECULAR_BIOLOGY_LABORATORY_b836b8875b,https://openalex.org/W2900569176
UK_GB991261800_b59b7ba284,https://openalex.org/W2531269403
US_MASSACHUSETTS_INSTITUTE_OF_TECHNOLOGY_69cb5dbd49,https://openalex.org/W2531269403
CA_UNIVERSITY_OF_OTTAWA_e82326be45,https://openalex.org/W2531269403
NA_UNIVERSITY_COLLEGE_LONDON_b48273dff7,https://openalex.org/W2531269403
UK_GB524371168_eaa3f3b4f2,https://openalex.org/W2531269403
UK_GB647205541_5de947cfbc,https://openalex.org/W2531269403
UK_GB595183505_581ffbb3ee,https://openalex.org/W2531269403
UK_UNIVERSITY_OF_ABERDEEN_bf095031f9,https://openalex.org/W2531269403
CA_MCMASTER_UNIVERSITY_a41fb79a8c,https://openalex.org/W2531269403
AU_UNIVERSITY_OF_MELBOURNE_1c75671e3b,https://openalex.org/W2531269403
US_COLUMBIA_UNIVERSITY_741e1225e9,https://openalex.org/W1997183854
US_NORTH_CAROLINA_STATE_UNIVERSITY_1e66637b30,https://openalex.org/W1997476591
US_NEW_YORK_UNIVERSITY_990aa3e1bd,https://openalex.org/W2949177718
IL_MINISTRY_OF_HEALTH_87a1a6ea6d,https://openalex.org/W2125065061
LA_MINISTRY_OF_HEALTH_91fde1fa89,https://openalex.org/W2125065061
UG_MINISTRY_OF_HEALTH_aff94ca32c,https://openalex.org/W2125065061
ZM_MINISTRY_OF_HEALTH_9eb9e27e84,https://openalex.org/W2125065061
US_YALE_UNIVERSITY_578f715f4b,https://openalex.org/W2125065061
US_MICHIGAN_STATE_UNIVERSITY_e00b2455da,https://openalex.org/W2125065061
AU_AU15211513464_079b054633,https://openalex.org/W2125065061
NA_UNIVERSITY_COLLEGE_LONDON_b48273dff7,https://openalex.org/W2125065061
UK_GB524371168_eaa3f3b4f2,https://openalex.org/W2125065061
US_CEDARS_SINAI_MEDICAL_CENTER_6f7c666783,https://openalex.org/W2125065061
US_UNIVERSITY_OF_WASHINGTON_e25b14874f,https://openalex.org/W2125065061
AU_GRIFFITH_UNIVERSITY_948f51e241,https://openalex.org/W2125065061
US_JOHNS_HOPKINS_UNIVERSITY_44d48793e7,https://openalex.org/W2125065061
NZ_NZ011659071_b1b6ba7f82,https://openalex.org/W2125065061
AU_JAMES_COOK_UNIVERSITY_3901d4504a,https://openalex.org/W2125065061
US_HOWARD_UNIVERSITY_db352a265a,https://openalex.org/W2125065061
US_BRANDEIS_UNIVERSITY_acc3895c61,https://openalex.org/W2125065061
UK_GB627403551_0eb3d8756c,https://openalex.org/W2125065061
US_BAYLOR_COLLEGE_OF_MEDICINE_1177e2b50f,https://openalex.org/W2125065061
AU_MONASH_UNIVERSITY_5adf1e4746,https://openalex.org/W2125065061
ZA_UNIVERSITY_OF_SOUTH_AFRICA_53429662c1,https://openalex.org/W2125065061
US_UNIVERSITY_OF_MIAMI_8c6c8f03f7,https://openalex.org/W2125065061
US_UNIVERSITY_OF_WASHINGTON_e25b14874f,https://openalex.org/W2912654919
US_JOHNS_HOPKINS_UNIVERSITY_44d48793e7,https://openalex.org/W2140729960
US_ICAHN_SCHOOL_OF_MEDICINE_AT_MOUNT_SINAI_f324e86270,https://openalex.org/W2099085143
AU_MONASH_UNIVERSITY_5adf1e4746,https://openalex.org/W3144543375
CA_UNIVERSITY_OF_OTTAWA_e82326be45,https://openalex.org/W3144543375
CA_MCMASTER_UNIVERSITY_a41fb79a8c,https://openalex.org/W3144543375
LB_AMERICAN_UNIVERSITY_OF_BEIRUT_9e4a8efc8d,https://openalex.org/W3144543375
UK_GB647205541_5de947cfbc,https://openalex.org/W3144543375
US_JOHNS_HOPKINS_UNIVERSITY_44d48793e7,https://openalex.org/W3144543375
UK_GB991261800_b59b7ba284,https://openalex.org/W3144543375
NA_UNIVERSITY_COLLEGE_LONDON_b48273dff7,https://openalex.org/W3144543375
UK_GB524371168_eaa3f3b4f2,https://openalex.org/W3144543375
IL_MINISTRY_OF_HEALTH_87a1a6ea6d,https://openalex.org/W2110052313
LA_MINISTRY_OF_HEALTH_91fde1fa89,https://openalex.org/W2110052313
UG_MINISTRY_OF_HEALTH_aff94ca32c,https://openalex.org/W2110052313
ZM_MINISTRY_OF_HEALTH_9eb9e27e84,https://openalex.org/W2110052313
US_YALE_UNIVERSITY_578f715f4b,https://openalex.org/W2110052313
AU_AU15211513464_079b054633,https://openalex.org/W2110052313
UK_GB637150940_08067467fd,https://openalex.org/W2110052313
